state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,churn
OR,167,408,no,no,0,225.0,46,38.25,229.7,54,19.52,246.3,58,11.08,13.2,15,3.56,4,False
OK,123,510,no,yes,6,119.0,104,20.23,195.2,126,16.59,229.8,1,10.34,14.9,16,4.02,7,False
OH,198,510,no,no,0,131.5,112,22.36,135.5,69,11.52,221.3,157,9.96,10.5,11,2.84,5,False
ME,1,408,no,no,0,148.7,7,25.28,210.1,26,17.86,196.0,57,8.82,9.8,3,2.65,7,False
MD,239,510,no,no,0,121.4,17,20.64,248.6,9,21.13,232.9,19,10.48,11.2,4,3.02,5,False
LA,151,510,no,no,0,213.1,107,36.23,204.2,150,17.36,139.9,167,6.3,13.6,10,3.67,7,False
WA,122,415,no,yes,49,213.6,83,36.31,263.7,148,22.41,73.2,156,3.29,9.6,10,2.59,3,False
SD,167,408,no,yes,15,239.0,150,40.63,167.3,125,14.22,262.7,132,11.82,6.8,7,1.84,9,False
WI,126,510,no,no,0,172.1,64,29.26,256.2,2,21.78,236.4,88,10.64,11.0,17,2.97,1,False
IN,57,510,no,no,0,155.0,108,26.35,181.4,42,15.42,193.1,137,8.69,12.6,5,3.4,2,False
IA,81,408,no,no,0,128.9,45,21.91,263.7,98,22.41,258.0,104,11.61,11.1,6,3.0,4,False
NM,162,415,no,no,0,250.4,65,42.57,136.2,6,11.58,160.5,111,7.22,11.2,5,3.02,3,False
AL,169,408,no,no,0,168.0,79,28.56,212.8,154,18.09,161.9,128,7.29,9.9,13,2.67,4,False
AZ,221,415,no,no,0,140.8,149,23.94,212.7,41,18.08,154.4,174,6.95,9.3,19,2.51,0,False
KS,73,408,no,no,0,220.5,139,37.48,225.3,96,19.15,230.7,97,10.38,13.6,5,3.67,0,False
MN,141,408,no,yes,31,161.7,146,27.49,183.1,3,15.56,114.5,13,5.15,5.0,3,1.35,1,True
HI,70,408,no,yes,27,122.4,149,20.81,223.0,135,18.96,158.6,152,7.14,10.3,12,2.78,1,False
ID,6,408,no,no,0,133.2,105,22.64,190.9,83,16.23,215.6,20,9.7,7.2,16,1.94,7,False
GA,84,415,no,yes,6,184.9,125,31.43,174.1,144,14.8,135.0,15,6.08,9.9,11,2.67,9,False
NY,52,415,no,yes,15,122.1,144,20.76,273.1,4,23.21,164.3,159,7.39,10.7,8,2.89,3,False
KS,3,510,no,yes,25,175.4,12,29.82,205.0,112,17.42,80.6,172,3.63,11.4,19,3.08,5,False
DE,81,408,no,yes,34,133.3,27,22.66,123.8,136,10.52,232.7,63,10.47,10.4,2,2.81,1,False
PA,63,415,no,yes,16,128.9,122,21.91,166.7,135,14.17,162.9,83,7.33,13.9,10,3.75,0,False
ID,49,415,yes,no,0,153.7,66,26.13,275.0,6,23.38,140.6,72,6.33,10.3,4,2.78,6,False
MS,76,415,no,no,0,188.6,4,32.06,154.7,36,13.15,130.1,59,5.85,7.0,2,1.89,3,False
NV,112,408,no,no,0,197.3,99,33.54,228.6,54,19.43,177.4,97,7.98,12.9,16,3.48,3,False
DE,175,510,no,no,0,229.9,142,39.08,165.6,66,14.08,114.7,146,5.16,10.9,8,2.94,1,False
NV,109,415,no,no,0,137.7,80,23.41,127.7,135,10.85,304.9,46,13.72,7.3,5,1.97,8,False
OK,183,408,no,yes,28,255.1,43,43.37,225.5,68,19.17,71.2,157,3.2,12.0,17,3.24,1,False
MT,192,415,no,no,0,326.9,118,55.57,184.2,4,15.66,175.7,46,7.91,8.4,5,2.27,4,False
DE,65,415,yes,yes,7,157.3,45,26.74,282.0,16,23.97,205.8,32,9.26,12.6,5,3.4,5,False
WY,81,510,no,no,0,84.6,156,14.38,258.4,110,21.96,158.1,20,7.11,6.5,9,1.76,2,False
NV,195,415,no,no,0,86.0,67,14.62,265.5,57,22.57,211.5,94,9.52,9.6,10,2.59,2,False
NV,218,415,no,no,0,153.2,127,26.04,255.4,154,21.71,156.8,62,7.06,11.2,13,3.02,5,False
OR,15,408,no,no,0,142.5,48,24.22,236.2,103,20.08,282.6,41,12.72,7.0,11,1.89,4,False
SD,100,408,no,no,0,180.3,101,30.65,131.3,112,11.16,139.6,104,6.28,11.5,19,3.11,4,False
OK,32,510,no,no,0,207.4,76,35.26,189.1,91,16.07,73.0,125,3.28,12.9,17,3.48,4,False
NE,96,408,no,yes,28,110.6,19,18.8,235.2,67,19.99,129.9,114,5.85,9.4,14,2.54,8,False
KY,128,408,no,no,0,170.7,110,29.02,186.2,27,15.83,220.9,42,9.94,11.1,9,3.0,7,False
FL,196,510,no,no,0,152.7,145,25.96,199.5,88,16.96,193.6,67,8.71,7.8,0,2.11,3,False
NC,146,415,no,no,0,289.9,114,49.28,238.0,105,20.23,240.6,25,10.83,18.0,14,4.86,5,False
MD,113,510,no,yes,21,105.4,11,17.92,254.9,66,21.67,227.1,160,10.22,10.0,1,2.7,4,False
IL,83,408,no,no,0,139.0,78,23.63,153.9,121,13.08,165.6,107,7.45,10.9,19,2.94,5,False
NV,43,510,no,yes,42,181.8,118,30.91,235.2,158,19.99,173.6,32,7.81,9.2,1,2.48,7,False
WV,116,415,no,yes,33,139.4,35,23.7,229.8,100,19.53,179.2,48,8.06,8.2,3,2.21,5,False
NH,163,510,no,no,0,241.2,7,41.0,150.6,11,12.8,301.8,83,13.58,12.7,13,3.43,5,False
IL,232,408,no,yes,11,124.9,27,21.23,180.3,100,15.33,237.3,40,10.68,3.3,18,0.89,1,False
VA,78,408,no,no,0,130.5,115,22.18,208.6,3,17.73,302.2,35,13.6,4.9,13,1.32,6,False
OH,58,510,no,no,0,245.8,85,41.79,271.9,120,23.11,245.4,94,11.04,10.9,12,2.94,2,False
CO,33,415,no,no,0,115.7,48,19.67,179.8,41,15.28,196.6,118,8.85,9.0,0,2.43,6,False
LA,14,510,no,no,0,225.1,79,38.27,222.3,21,18.9,145.0,149,6.52,12.4,9,3.35,4,False
CA,162,415,no,no,0,155.6,4,26.45,260.6,0,22.15,210.9,174,9.49,8.5,13,2.3,3,False
WA,189,415,no,no,0,146.6,45,24.92,295.6,47,25.13,196.7,82,8.85,5.3,16,1.43,9,False
MO,132,510,no,no,0,152.6,97,25.94,212.6,42,18.07,194.9,19,8.77,9.8,15,2.65,0,False
AK,216,415,no,no,0,119.5,101,20.32,92.9,101,7.9,188.7,86,8.49,9.2,14,2.48,7,False
GA,59,408,no,no,0,229.0,1,38.93,248.1,147,21.09,89.2,151,4.01,7.0,10,1.89,1,False
NJ,157,510,no,yes,46,187.3,24,31.84,211.8,17,18.0,268.1,125,12.06,12.2,11,3.29,9,False
WY,83,415,no,no,0,228.1,0,38.78,157.9,75,13.42,197.3,170,8.88,11.0,0,2.97,7,False
VT,134,408,no,yes,3,243.5,67,41.4,237.3,144,20.17,123.6,99,5.56,7.2,2,1.94,6,False
CA,121,510,no,yes,11,209.2,68,35.56,296.1,149,25.17,226.0,72,10.17,5.7,10,1.54,2,False
NC,225,408,no,yes,48,101.6,15,17.27,211.7,81,17.99,153.8,15,6.92,11.0,20,2.97,6,False
AL,177,408,no,no,0,127.7,17,21.71,118.3,9,10.06,230.4,26,10.37,7.3,10,1.97,0,False
LA,168,408,no,no,0,225.9,106,38.4,274.6,23,23.34,247.6,44,11.14,7.3,4,1.97,4,False
NY,83,415,no,no,0,183.0,16,31.11,202.2,139,17.19,255.1,164,11.48,9.7,14,2.62,1,False
WA,193,510,no,no,0,215.1,124,36.57,237.3,3,20.17,191.3,12,8.61,10.1,19,2.73,1,False
WI,197,510,no,no,0,175.2,81,29.78,204.2,169,17.36,177.7,1,8.0,11.4,15,3.08,2,False
HI,27,415,no,no,0,156.8,3,26.66,224.3,125,19.07,166.2,75,7.48,13.0,2,3.51,6,False
MA,80,510,no,no,0,215.2,114,36.58,234.9,132,19.97,161.0,104,7.24,8.7,7,2.35,1,False
MT,134,408,no,no,0,86.7,94,14.74,242.2,153,20.59,199.1,96,8.96,11.6,15,3.13,3,False
MO,232,510,no,no,0,162.7,94,27.66,208.5,79,17.72,188.7,86,8.49,9.5,15,2.57,3,False
MI,13,415,yes,no,0,183.6,136,31.21,162.2,4,13.79,155.4,58,6.99,13.3,3,3.59,0,True
NE,240,408,no,no,0,191.3,30,32.52,210.9,153,17.93,138.2,13,6.22,7.6,14,2.05,6,False
WI,64,415,no,yes,33,110.1,132,18.72,241.2,82,20.5,194.1,102,8.73,11.5,18,3.11,3,False
IL,190,408,no,no,0,457.3960740844697,15,77.76,162.6,5,13.82,176.6,29,7.95,7.7,14,2.08,0,False
NC,227,408,no,no,0,158.8,41,27.0,144.6,151,12.29,138.4,109,6.23,7.5,12,2.03,2,False
ND,147,510,no,no,0,176.6,29,30.02,269.0,6,22.86,244.9,97,11.02,8.7,9,2.35,7,False
SD,204,408,no,no,0,264.0,25,44.88,287.3,9,24.42,295.7,8,13.31,4.1,1,1.11,3,False
OH,80,415,no,no,0,132.6,30,22.54,203.0,166,17.26,252.0,23,11.34,12.8,5,3.46,0,False
AL,123,510,no,no,0,153.4,49,26.08,231.7,77,19.69,161.1,111,7.25,7.6,16,2.05,6,False
MA,43,415,no,no,0,265.9,142,45.2,220.2,155,18.72,197.3,40,8.88,8.7,7,2.35,7,False
WV,202,408,no,yes,35,237.5,51,40.38,89.8,41,7.63,283.2,31,12.74,7.3,15,1.97,4,True
CO,89,415,yes,no,0,119.8,37,20.37,211.5,61,17.98,136.6,174,6.15,12.7,20,3.43,8,False
NV,148,415,no,no,0,216.5,19,36.8,275.8,124,23.44,242.3,20,10.9,10.7,12,2.89,6,False
KY,95,408,no,yes,5,224.9,98,38.23,141.1,21,11.99,121.8,169,5.48,11.5,11,3.11,3,False
CA,196,510,no,no,0,190.6,43,32.4,136.4,56,11.59,290.9,69,13.09,10.5,15,2.84,8,False
NM,172,415,no,no,0,116.6,110,19.82,163.8,95,13.92,176.8,110,7.96,10.5,6,2.84,5,False
CA,151,408,yes,yes,44,147.8,88,25.13,176.8,138,15.03,320.4,88,14.42,10.9,9,2.94,7,False
PA,2,510,no,no,0,146.1,62,24.84,235.0,141,19.98,293.3,1,13.2,12.7,5,3.43,1,False
AZ,120,510,no,no,0,208.6,117,35.46,268.4,30,22.81,194.3,158,8.74,6.8,4,1.84,4,False
MN,22,510,no,no,0,156.8,149,26.66,267.2,3,22.71,161.2,55,7.25,8.4,17,2.27,2,False
OR,115,415,no,yes,20,165.7,71,28.17,234.4,108,19.92,210.5,157,9.47,7.1,15,1.92,4,False
OR,57,415,no,no,0,147.5,53,25.08,119.9,149,10.19,190.3,14,8.56,11.7,2,3.16,7,False
GA,229,415,no,no,0,95.8,136,16.29,119.6,117,10.17,178.3,17,8.02,11.2,2,3.02,5,False
GA,72,510,no,yes,36,320.1,142,54.42,238.4,92,20.26,110.5,31,4.97,12.0,4,3.24,0,True
ME,7,415,no,yes,2,201.8,47,34.31,120.1,98,10.21,172.2,13,7.75,2.9,1,0.78,6,True
KY,206,408,no,no,0,259.5,147,44.12,229.3,76,19.49,140.0,51,6.3,8.8,0,2.38,9,False
MA,184,415,no,no,0,119.8,162,20.37,215.2,82,18.29,229.8,21,10.34,3.3,3,0.89,0,False
IN,119,415,no,yes,26,262.0,100,44.54,177.4,114,15.08,253.5,13,11.41,15.5,9,4.19,0,False
FL,195,510,no,no,0,158.6,59,26.96,71.1,60,6.04,240.0,33,10.8,10.4,12,2.81,3,False
VA,114,415,no,no,0,208.6,97,35.46,211.3,99,17.96,218.5,85,9.83,7.7,2,2.08,8,False
AL,16,408,yes,no,0,233.6,161,39.71,227.1,133,19.3,153.9,55,6.93,9.7,10,2.62,7,False
VT,83,510,no,yes,46,261.6,99,44.47,172.6,78,14.67,211.1,62,9.5,9.9,2,2.67,9,False
IL,179,408,no,no,0,177.5,98,30.18,145.3,5,12.35,242.8,143,10.93,15.5,9,4.19,2,False
AR,210,510,no,yes,50,125.8,72,21.39,216.0,65,18.36,168.3,79,7.57,9.5,8,2.57,5,False
AL,208,510,no,no,0,179.2,118,30.46,126.9,163,10.79,206.4,39,9.29,10.5,9,2.84,0,False
WI,72,415,no,no,0,211.9,127,36.02,232.5,142,19.76,192.1,37,8.64,8.3,12,2.24,9,False
SC,124,408,no,no,0,151.1,139,25.69,254.8,75,21.66,289.8,145,13.04,15.9,17,4.29,0,False
NY,225,510,no,no,0,157.2,87,26.72,101.0,39,8.59,246.0,22,11.07,14.4,20,3.89,5,False
ND,113,415,no,no,0,96.4,104,16.39,174.1,168,14.8,232.9,109,10.48,4.5,17,1.22,4,True
NV,12,510,no,no,0,127.2,18,21.62,198.5,6,16.87,107.3,47,4.83,12.4,16,3.35,5,False
NM,126,510,no,yes,2,204.0,79,34.68,200.0,21,17.0,209.3,81,9.42,11.3,16,3.05,8,False
DE,53,510,no,no,0,227.6,25,38.69,156.2,71,13.28,191.6,173,8.62,7.8,4,2.11,4,False
RI,75,510,no,yes,9,239.5,150,40.72,132.9,105,11.3,191.2,112,8.6,7.2,8,1.94,1,False
MT,133,510,no,no,0,302.9,120,51.49,177.5,138,15.09,115.6,21,5.2,4.3,11,1.16,0,False
ND,27,510,no,no,0,260.4,32,44.27,233.9,129,19.88,141.3,124,6.36,11.8,11,3.19,1,False
AZ,140,415,no,no,0,171.8,105,29.21,230.1,29,19.56,196.3,53,8.83,6.2,18,1.67,7,False
WY,145,510,no,no,0,129.5,29,22.02,230.7,67,19.61,260.2,39,11.71,10.9,6,2.94,0,False
ID,134,408,no,no,0,166.2,150,28.25,264.8,88,22.51,168.1,29,7.56,7.0,19,1.89,5,False
AL,97,415,no,no,0,150.2,125,25.53,147.6,148,12.55,178.4,41,8.03,6.7,11,1.81,4,False
UT,5,408,no,no,0,189.0,35,32.13,181.7,152,15.44,296.2,169,13.33,10.1,8,2.73,9,False
CA,57,510,no,yes,38,228.1,124,38.78,191.6,72,16.29,184.0,126,8.28,13.5,7,3.65,8,True
NJ,156,408,no,no,0,205.9,123,35.0,54.0,71,4.59,193.0,81,8.68,7.9,18,2.13,3,False
NJ,78,510,yes,no,0,265.1,117,45.07,212.4,132,18.05,193.8,52,8.72,9.8,20,2.65,4,True
KY,69,510,yes,no,0,201.4,122,34.24,199.5,65,16.96,127.3,0,5.73,10.3,2,2.78,4,True
WV,118,415,no,yes,33,111.1,36,18.89,143.0,84,12.16,230.9,105,10.39,9.8,10,2.65,1,False
WA,120,415,no,no,0,149.2,60,25.36,245.4,48,20.86,164.7,26,7.41,10.9,11,2.94,1,False
MN,59,510,no,no,0,201.7,95,34.29,242.2,7,20.59,198.4,16,8.93,10.0,16,2.7,8,False
IA,33,415,no,yes,8,192.3,119,32.69,221.4,154,18.82,224.0,62,10.08,5.1,6,1.38,2,False
OR,62,408,no,yes,23,250.6,11,42.6,113.8,1,9.67,304.9,127,13.72,13.7,2,3.7,5,False
MA,50,415,no,no,0,180.4,121,30.67,151.4,27,12.87,128.8,168,5.8,11.1,6,3.0,3,False
IN,112,415,no,no,0,170.5,34,28.99,216.5,138,18.4,246.7,120,11.1,9.4,6,2.54,3,False
AK,233,408,no,no,0,95.0,66,16.15,173.6,45,14.76,246.9,121,11.11,7.2,13,1.94,4,False
HI,19,415,no,yes,18,136.4,37,23.19,189.2,125,16.08,165.5,126,7.45,9.0,1,2.43,4,False
RI,214,510,no,no,0,196.7,23,33.44,144.8,20,12.31,232.4,165,10.46,12.4,15,3.35,6,False
PA,197,408,no,no,0,191.3,80,32.52,210.8,169,17.92,288.7,121,12.99,6.3,20,1.7,6,False
ND,123,510,no,no,0,212.1,71,36.06,277.7,31,23.6,158.7,65,7.14,7.6,9,2.05,0,False
PA,194,408,yes,no,0,204.3,78,34.73,217.5,159,18.49,213.0,172,9.58,9.8,13,2.65,5,False
WY,222,510,no,no,0,173.9,113,29.56,250.5,149,21.29,221.9,22,9.99,5.5,6,1.48,3,False
ND,47,510,no,no,0,125.9,44,21.4,245.8,76,20.89,228.8,147,10.3,7.3,1,1.97,1,False
LA,167,415,yes,no,0,180.0,124,30.6,182.7,20,15.53,241.5,35,10.87,9.2,9,2.48,5,False
NJ,196,510,no,no,0,177.6,95,30.19,191.5,149,16.28,209.0,169,9.4,3.1,1,0.84,6,False
IA,33,415,no,no,0,254.1,12,43.2,276.0,33,23.46,227.7,149,10.25,9.3,12,2.51,1,False
NE,141,408,no,no,0,251.7,109,42.79,238.4,137,20.26,150.8,10,6.79,6.3,1,1.7,1,False
ND,84,510,no,no,0,154.1,5,26.2,250.0,64,21.25,208.9,27,9.4,13.3,9,3.59,9,False
PA,182,510,no,no,0,146.4,96,24.89,209.5,64,17.81,174.3,44,7.84,8.4,13,2.27,6,False
NC,135,408,no,no,0,106.9,70,18.17,181.0,87,15.39,133.6,123,6.01,12.1,16,3.27,8,False
MS,79,408,no,yes,49,171.1,46,29.09,187.2,66,15.91,172.5,121,7.76,11.1,18,3.0,2,False
IA,215,510,yes,no,0,154.4,92,26.25,271.2,42,23.05,214.6,149,9.66,7.8,11,2.11,2,False
NJ,14,408,no,yes,4,320.8,100,54.54,201.0,114,17.08,223.5,80,10.06,11.0,16,2.97,7,False
TN,215,415,no,yes,41,119.8,43,20.37,264.6,168,22.49,131.5,158,5.92,14.8,5,4.0,1,False
KY,147,408,no,yes,31,183.2,31,31.14,272.7,140,23.18,149.4,10,6.72,10.1,3,2.73,8,False
CA,128,408,no,no,0,145.3,2,24.7,248.0,117,21.08,239.1,35,10.76,9.0,1,2.43,6,False
NH,54,510,no,no,0,181.3,83,30.82,242.0,3,20.57,227.4,77,10.23,11.1,14,3.0,7,False
AR,221,415,no,no,0,162.0,3,27.54,287.5,22,24.44,247.9,34,11.16,11.4,15,3.08,8,False
GA,148,408,no,no,0,223.8,144,38.05,157.9,69,13.42,273.9,126,12.33,9.0,11,2.43,2,False
KY,29,415,no,no,0,203.8,164,34.65,180.0,161,15.3,229.0,150,10.3,1.9,6,0.51,5,False
GA,24,415,no,no,0,222.0,87,37.74,136.8,40,11.63,177.6,28,7.99,7.5,12,2.03,7,False
KY,82,415,no,no,0,139.4,105,23.7,124.6,145,10.59,206.2,150,9.28,6.3,0,1.7,0,False
MD,63,510,yes,no,0,238.3,104,40.51,198.7,119,16.89,289.6,123,13.03,9.9,18,2.67,5,False
MS,202,408,no,yes,7,154.0,35,26.18,214.7,89,18.25,349.3,15,15.72,13.3,12,3.59,2,False
CA,105,510,no,no,0,104.1,57,17.7,226.8,160,19.28,225.0,102,10.12,11.4,0,3.08,7,False
ND,57,408,no,no,0,170.2,7,28.93,165.4,152,14.06,228.9,83,10.3,8.6,1,2.32,8,False
CO,136,408,no,no,0,186.1,157,31.64,179.9,51,15.29,239.2,146,10.76,10.7,0,2.89,4,False
AK,218,510,no,no,0,112.5,85,19.12,244.2,144,20.76,201.3,95,9.06,9.9,11,2.67,1,False
IL,62,415,no,no,0,227.2,96,38.62,126.5,50,10.75,262.8,49,11.83,11.5,9,3.11,6,False
TX,157,415,no,no,0,136.2,152,23.15,201.6,130,17.14,254.4,42,11.45,11.6,1,3.13,5,False
TX,202,408,no,no,0,133.9,58,22.76,267.6,54,22.75,219.1,18,9.86,13.6,0,3.67,5,False
WV,17,510,no,no,0,180.0,29,30.6,187.5,118,15.94,182.8,112,8.23,9.6,4,2.59,0,False
HI,66,415,no,yes,16,226.3,100,38.47,179.5,112,15.26,117.9,120,5.31,5.0,1,1.35,0,False
WA,6,415,no,no,0,114.3,66,19.43,264.4,34,22.47,239.6,17,10.78,6.3,3,1.7,5,False
MN,58,408,no,no,0,230.8,131,39.24,128.9,67,10.96,211.5,133,9.52,10.0,13,2.7,5,False
KS,69,408,no,no,0,63.4,92,10.78,160.0,91,13.6,160.2,34,7.21,9.2,8,2.48,3,False
NM,156,510,no,no,0,197.9,62,33.64,162.0,58,13.77,139.0,13,6.26,12.0,5,3.24,7,False
HI,62,408,no,yes,28,119.0,31,20.23,236.4,12,20.09,235.7,63,10.61,12.9,11,3.48,8,False
KS,169,415,no,yes,13,136.9,86,23.27,119.2,61,10.13,113.5,136,5.11,10.1,11,2.73,5,False
DE,197,415,no,no,0,273.8,50,46.55,263.9,93,22.43,216.2,162,9.73,6.5,8,1.76,9,False
AR,82,415,no,no,0,126.6,62,21.52,199.6,2,16.97,245.6,1,11.05,11.6,14,3.13,7,False
SC,218,415,no,no,0,177.0,79,30.09,254.3,20,21.62,229.7,5,10.34,10.8,9,2.92,7,False
AR,212,510,no,yes,33,122.4,86,20.81,264.3,103,22.47,178.9,98,8.05,11.8,1,3.19,1,False
MO,169,510,no,no,0,221.5,109,37.66,160.9,64,13.68,132.5,120,5.96,8.0,17,2.16,3,False
AZ,177,408,no,yes,45,202.1,100,34.36,201.9,145,17.16,231.7,152,10.43,18.3,6,4.94,0,True
NY,219,408,no,no,0,209.7,128,35.65,189.4,12,16.1,264.8,72,11.92,5.1,8,1.38,0,False
AZ,177,408,no,no,0,241.1,18,40.99,197.7,76,16.8,169.1,134,7.61,10.3,19,2.78,5,False
NE,204,510,no,no,0,161.8,100,27.51,172.0,108,14.62,227.4,62,10.23,12.0,20,3.24,6,False
NH,71,415,no,no,0,238.0,162,40.46,257.8,95,21.91,285.4,155,12.84,12.3,20,3.32,4,False
NY,131,408,no,yes,18,260.5,93,44.28,191.5,92,16.28,218.3,1,9.82,10.0,17,2.7,7,False
WY,10,415,no,no,0,195.4,80,33.22,184.0,44,15.64,178.6,64,8.04,11.7,2,3.16,8,False
ME,98,408,yes,no,0,120.3,102,20.45,258.3,61,21.96,256.2,100,11.53,12.5,12,3.38,3,False
MA,89,408,no,yes,13,114.9,112,19.53,243.6,29,20.71,160.2,151,7.21,10.3,9,2.78,0,False
CA,35,408,no,yes,46,203.9,153,34.66,215.7,13,18.33,129.9,37,5.85,10.6,16,2.86,5,False
LA,208,408,no,no,0,120.2,12,20.43,181.0,9,15.39,243.9,61,10.98,11.8,2,3.19,0,False
NV,2,408,no,yes,4,107.5,117,18.28,275.7,158,23.43,178.1,118,8.01,10.1,20,2.73,1,False
TN,124,415,no,yes,23,227.7,85,38.71,147.1,5,12.5,182.9,51,8.23,13.7,8,3.7,3,False
MI,24,408,no,no,0,155.2,22,26.38,255.7,118,21.73,166.1,109,7.47,12.8,16,3.46,3,False
MA,74,415,no,no,0,310.6,106,52.8,232.9,18,19.8,174.5,73,7.85,9.1,15,2.46,5,False
CO,166,510,no,no,0,144.5,162,24.56,136.4,11,11.59,275.8,97,12.41,8.0,5,2.16,7,False
AL,22,408,yes,no,0,153.1,11,26.03,204.8,116,17.41,289.8,62,13.04,12.2,17,3.29,2,False
CA,154,415,yes,yes,8,199.4,136,33.9,133.6,102,11.36,296.9,138,13.36,10.2,5,2.75,5,False
SD,171,510,no,no,0,191.0,77,32.47,183.3,113,15.58,258.9,47,11.65,8.3,5,2.24,2,False
ID,183,510,no,yes,27,175.5,66,29.84,215.3,81,18.3,225.2,100,10.13,8.7,16,2.35,1,False
MT,39,510,no,no,0,174.2,107,29.61,149.3,8,12.69,122.7,73,5.52,11.8,20,3.19,3,False
VA,219,415,no,yes,25,350.0,43,59.5,81.3,133,6.91,189.9,37,8.55,8.7,9,2.35,3,False
ND,157,408,no,no,0,269.7,148,45.85,194.5,128,16.53,316.5,135,14.24,14.0,1,3.78,1,False
WI,239,408,no,no,0,225.6,6,38.35,211.9,169,18.01,176.5,5,7.94,7.2,0,1.94,2,False
IN,230,415,no,yes,7,113.8,127,19.35,181.8,92,15.45,281.8,67,12.68,8.6,10,2.32,8,False
MT,20,408,yes,no,0,176.0,96,29.92,200.2,98,17.02,203.0,133,9.14,7.4,5,2.0,9,True
VT,219,415,no,yes,19,215.7,10,36.67,191.8,98,16.3,55.4,110,2.49,6.6,0,1.78,8,False
NE,41,408,no,no,0,220.4,159,37.47,149.1,29,12.67,234.6,31,10.56,7.8,15,2.11,9,False
FL,182,510,no,no,0,249.0,105,42.33,300.3,34,25.53,268.4,37,12.08,8.6,8,2.32,6,False
MT,148,408,no,yes,48,145.4,82,24.72,217.2,62,18.46,197.4,114,8.88,8.8,11,2.38,1,True
WA,108,415,no,no,0,177.9,35,30.24,179.3,149,15.24,266.6,108,12.0,3.9,8,1.05,4,False
MI,147,415,no,yes,17,139.2,117,23.66,158.9,27,13.51,109.9,63,4.95,6.7,12,1.81,7,False
WA,84,510,no,no,0,252.1,164,42.86,180.7,145,15.36,125.2,53,5.63,10.5,6,2.84,0,False
NJ,227,415,no,no,0,217.7,40,37.01,182.4,31,15.5,211.1,112,9.5,8.0,0,2.16,0,False
TX,111,408,no,no,0,152.6,91,25.94,202.9,68,17.25,225.8,13,10.16,12.9,2,3.48,12,False
WV,66,408,no,no,0,192.1,48,32.66,259.5,161,22.06,273.3,63,12.3,9.3,2,2.51,6,False
KY,158,510,no,no,0,182.7,142,31.06,160.0,158,13.6,234.5,174,10.55,11.7,18,3.16,6,False
MT,53,415,no,no,0,132.5,140,22.52,210.1,109,17.86,135.5,53,6.1,9.0,3,2.43,2,False
OK,34,510,no,no,0,230.2,52,39.13,241.8,96,20.55,211.5,18,9.52,12.6,11,3.4,9,False
AL,150,408,no,yes,35,184.2,106,31.31,166.6,131,14.16,232.4,166,10.46,3.5,3,0.94,3,False
DE,67,510,no,no,0,151.4,32,25.74,166.3,141,14.14,98.8,125,4.45,10.3,20,2.78,8,False
WI,134,415,yes,no,0,131.6,118,22.37,124.0,14,10.54,197.6,59,8.89,14.3,9,3.86,9,False
OH,207,510,no,no,0,226.1,31,38.44,286.7,19,24.37,181.9,160,8.19,5.9,3,1.59,3,False
IA,27,415,no,yes,2,194.5,117,33.07,226.9,19,19.29,164.6,31,7.41,12.1,10,3.27,4,False
WA,10,415,no,yes,5,142.5,61,24.22,171.9,98,14.61,226.9,35,10.21,11.1,3,3.0,5,False
MI,73,408,no,no,0,153.1,81,26.03,169.7,67,14.42,137.9,151,6.21,6.0,10,1.62,6,False
IN,225,408,no,no,0,180.3,129,30.65,148.4,17,12.61,222.5,170,10.01,11.0,16,2.97,4,False
MT,96,408,yes,no,0,183.4,76,31.18,209.0,151,17.76,230.2,45,10.36,11.0,20,2.97,6,True
NV,48,415,no,yes,35,190.4,15,32.37,183.6,154,15.61,258.5,174,11.63,9.7,19,2.62,1,False
MN,70,510,no,no,0,84.5,122,14.36,154.2,32,13.11,139.3,13,6.27,13.2,19,3.56,6,False
IN,233,415,no,no,0,186.5,7,31.7,161.6,124,13.74,118.7,172,5.34,12.8,12,3.46,4,False
MS,187,408,no,yes,23,114.2,146,19.41,238.0,63,20.23,215.1,117,9.68,12.3,16,3.32,9,False
AK,100,408,no,yes,36,256.6,159,43.62,181.5,152,15.43,184.5,49,8.3,13.9,12,3.75,4,False
VT,59,510,no,no,0,236.3,66,40.17,138.4,68,11.76,356.7,64,16.05,7.7,16,2.08,5,False
MT,2,408,yes,no,0,242.5,114,41.22,204.3,145,17.37,224.8,76,10.12,8.5,18,2.3,8,True
IN,157,408,no,no,0,47.2,112,8.02,166.0,44,14.11,203.1,63,9.14,8.2,19,2.21,3,False
CT,196,408,no,no,0,163.8,31,27.85,233.9,109,19.88,190.7,22,8.58,8.6,14,2.32,4,False
AZ,65,510,no,no,0,175.8,104,29.89,277.9,19,23.62,134.2,124,6.04,8.6,3,2.32,4,False
WA,83,415,no,yes,44,211.0,24,35.87,102.2,34,8.69,230.4,83,10.37,9.6,17,2.59,2,False
MN,154,408,yes,no,0,228.6,52,38.86,164.9,133,14.02,195.7,69,8.81,8.9,10,2.4,2,True
VA,217,510,no,no,0,249.4,80,42.4,208.1,90,17.69,195.8,72,8.81,7.0,8,1.89,0,False
